PgS,PgNS,Parity,Ratio,Median,MeanScore,DeviationScore
0.0,0.0,0.0,-1,0.0,0.0,0.0
0.20164609053497942,0.476,-0.2743539094650206,0.42362624061970466,0.39209103567812936,0.4530769276518154,0.4049521362212052
0.0,0.005714285714285714,-0.005714285714285714,-1,0.0,0.012828419322123474,0.07165043381594972
0.0,0.0,0.0,-1,0.0,0.0004035041154916459,0.008471585021733398
0.0,0.022285714285714287,-0.022285714285714287,-1,0.0,0.020475293082061176,0.10714311269258428
0.00411522633744856,0.0005714285714285715,0.0035437977660199883,7.20164609053498,0.0,0.0053396340114723675,0.04160565794965432
0.8477366255144033,0.956,-0.10826337448559664,0.886753792379083,1.0,0.9372217354405284,0.20081596129207
0.0,0.0,0.0,-1,0.0,0.0006222109462718338,0.010503515734644912
0.9670781893004116,0.6148571428571429,0.3522210464432687,1.5728502149402603,0.7293179782306997,0.6507203733587859,0.35332045972033566
0.2551440329218107,0.2651428571428571,-0.00999882422104642,0.9622889172697603,0.11999094626838344,0.29247796582042884,0.3518580736761908
0.7242798353909465,0.964,-0.23972016460905343,0.751327630073596,1.0,0.9048862168812551,0.2060511858611509
0.012345679012345678,0.054285714285714284,-0.041940035273368606,0.22742040285899934,0.0,0.08491415937251837,0.1740258230593584
0.25925925925925924,0.3537142857142857,-0.09445502645502646,0.7329623646263388,0.3093004997646142,0.3734789578629759,0.3431807887659311
0.30864197530864196,0.7954285714285714,-0.4867865961199294,0.38801972470554846,0.7802806698523355,0.6908898272823968,0.32103156152718737
0.24279835390946503,0.284,-0.04120164609053495,0.8549237813713558,0.22570659785264013,0.3092299862016629,0.3190726005006741
0.8683127572016461,0.4102857142857143,0.4580270429159318,2.1163611770235105,0.4380296135842025,0.45870583469822157,0.40700486099289795
0.5967078189300411,0.27485714285714286,0.32185067607289825,2.1709743931966154,0.19925769668894433,0.34856266942111447,0.37898457017194037
0.8683127572016461,0.34285714285714286,0.5254556143445033,2.5325788751714677,0.2323885127227819,0.4066329864528832,0.4318502031075824
0.18518518518518517,0.18,0.005185185185185182,1.02880658436214,0.06521970375972837,0.222211376735695,0.29119007335820696
0.9958847736625515,0.9988571428571429,-0.002972369194591429,0.9970242299253232,1.0,0.995871168951585,0.0346794824161633
0.0205761316872428,0.04742857142857143,-0.026852439741328633,0.4338341018394566,0.0,0.05046520351066304,0.1818727836043427
0.0,0.0,0.0,-1,0.0,0.0,0.0
0.6255144032921811,0.5674285714285714,0.058085831863609716,1.1023667731735318,0.6071947567537005,0.5658393671425785,0.3681437503106128
0.588477366255144,0.7234285714285714,-0.1349512051734274,0.813456074997237,0.9228507099045741,0.688469563794872,0.37937816271515856
0.654320987654321,0.3137142857142857,0.3406067019400353,2.085722638242371,0.29236956807044445,0.38375062645827046,0.36960805903511607
0.551440329218107,0.2897142857142857,0.26172604350382134,1.9033936412853794,0.24488229131172856,0.3374224093533568,0.34308743008307757
0.00411522633744856,0.001142857142857143,0.002972369194591417,3.60082304526749,0.0,0.005527175808606464,0.043740127249107114
0.9753086419753086,0.7714285714285715,0.20388007054673718,1.264288980338363,0.9143502851225556,0.7646622345621272,0.29265227772783964
0.0,0.0,0.0,-1,0.0,1.840387309138107e-05,0.000821604632237413
0.9958847736625515,0.9377142857142857,0.05817048794826574,1.0620343412001616,1.0,0.915442572840672,0.1879894380826644
0.06172839506172839,0.046285714285714284,0.015442680776014107,1.333638164913885,0.0,0.0962072099794293,0.17258087258537355
0.9547325102880658,0.9514285714285714,0.0033039388594944263,1.00347260841088,1.0,0.9465078876645799,0.18761973853733793
0.9917695473251029,0.9988571428571429,-0.00708759553203997,0.992904295090921,1.0,0.9951010993931748,0.045150527510171026
0.0,0.008,-0.008,-1,0.0,0.013689241652981712,0.076140583706716
0.9917695473251029,0.9382857142857143,0.05348383303938864,1.0570016490980085,1.0,0.9007759828626098,0.18275114624338695
0.8395061728395061,0.9445714285714286,-0.10506525573192249,0.8887693904834456,1.0,0.9164499940455524,0.2043505359637068
0.053497942386831275,0.024,0.029497942386831275,2.2290809327846364,0.0,0.05450631709979384,0.13718082406446763
0.0,0.0,0.0,-1,0.0,0.0007333163641394459,0.011628168685577938
0.9917695473251029,0.996,-0.004230452674897078,0.9957525575553242,1.0,0.9776119259227941,0.07942164739607908
0.0,0.002285714285714286,-0.002285714285714286,-1,0.0,0.007219945319955674,0.04933228732550171
0.12345679012345678,0.13257142857142856,-0.009114638447971779,0.9312473392933163,0.0,0.14693244495063965,0.28652074667213534
0.9670781893004116,0.9565714285714285,0.010506760728983044,1.0109837701766549,1.0,0.9390520471726107,0.1727301056073385
0.06995884773662552,0.5468571428571428,-0.4768982951205173,0.12792892741807174,0.48289759781260666,0.47678661299371555,0.3882216215952403
0.0,0.0,0.0,-1,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,0.9997070794021958,0.007393251069661586
0.0,0.0,0.0,-1,0.0,0.0,0.0
0.9876543209876543,0.8868571428571429,0.10079717813051137,1.1136566119383988,0.9923019128202932,0.8375735109271417,0.22638371980336439
0.0,0.0,0.0,-1,0.0,0.0,0.0
0.934156378600823,0.9222857142857143,0.011870664315108748,1.012870918557274,1.0,0.9187377268276418,0.24586679063451367
0.053497942386831275,0.15828571428571428,-0.104787771898883,0.3379833905305225,0.1336492467077571,0.21463843709679487,0.2457973056596282
1.0,0.964,0.03600000000000003,1.037344398340249,1.0,0.9601915381881678,0.14740468263315137
0.0,0.04914285714285714,-0.04914285714285714,-1,0.0,0.05954894518708419,0.16725993997200392
