PgS,PgNS,Parity,Ratio,Median,MeanScore,DeviationScore
1.0,0.9994285714285714,0.0005714285714285561,1.0005717552887363,1.0,0.9996088106380442,0.017463877862504234
0.5390946502057613,0.944,-0.40490534979423864,0.5710748413196625,1.0,0.8943364178600348,0.29027995377043486
0.053497942386831275,0.08342857142857144,-0.02993062904174016,0.6412424601161283,0.0,0.0841474298487442,0.24591764465516816
0.0,0.0,0.0,-1,0.0,0.0,0.0
0.20164609053497942,0.43142857142857144,-0.22978248089359202,0.46739160057776685,0.0,0.4043488873048917,0.4595372414399056
1.0,0.9988571428571429,0.0011428571428571122,1.0011441647597255,1.0,0.9993203830152548,0.021585953117092757
0.1646090534979424,0.6342857142857142,-0.4696766607877718,0.25951877803729656,0.9506784438679281,0.5735045289327395,0.46810646410955475
0.4444444444444444,0.36514285714285716,0.07930158730158726,1.2171796209354893,0.0,0.3809889132241511,0.4488168822023648
0.10699588477366255,0.22,-0.11300411522633745,0.48634493078937524,0.0,0.21621397532422143,0.3529614596448983
0.00411522633744856,0.001142857142857143,0.002972369194591417,3.60082304526749,0.0,0.0016273815111745144,0.03559539845526686
0.7695473251028807,0.8868571428571429,-0.11730981775426219,0.8677241101353358,1.0,0.8670573867066618,0.29600947967969704
1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,0.9725714285714285,0.02742857142857147,1.028202115158637,1.0,0.9747219363172392,0.14263766493908897
0.01646090534979424,0.010857142857142857,0.005603762492651383,1.5161360190599957,0.0,0.011894013257076726,0.09874963469924464
0.24279835390946503,0.6817142857142857,-0.4389159318048207,0.3561585241756612,1.0,0.6213246225943272,0.4467113757180352
0.1728395061728395,0.10285714285714286,0.06998236331569664,1.680384087791495,0.0,0.11068251144384442,0.29104603414110536
0.0,0.0,0.0,-1,0.0,0.0,0.0
0.01646090534979424,0.038857142857142854,-0.022396237507348614,0.4236262406197047,0.0,0.03899967506222794,0.17584535690853315
0.024691358024691357,0.384,-0.35930864197530865,0.06430041152263374,0.0,0.34120440482529135,0.4472537544856386
0.9917695473251029,0.9571428571428572,0.034626690182245734,1.036177138996376,1.0,0.9600987460045736,0.16702975655254537
0.35390946502057613,0.5891428571428572,-0.23523339212228106,0.6007192665237713,0.773505139416675,0.5603912406417889,0.4586125465844036
0.11934156378600823,0.7045714285714286,-0.5852298647854204,0.16938178152920874,1.0,0.6306284155708884,0.4574616626589514
0.9958847736625515,1.0,-0.004115226337448541,0.9958847736625515,1.0,0.9991214694061334,0.025054027728886843
0.4609053497942387,0.6371428571428571,-0.17623750734861843,0.723394046762258,1.0,0.6151212505646396,0.46272488958967267
1.0,0.9982857142857143,0.0017142857142856682,1.001717229536348,1.0,0.999086643686636,0.02363262209099013
0.0,0.0,0.0,-1,0.0,0.0,0.0
0.00411522633744856,0.0017142857142857142,0.002400940623162846,2.4005486968449934,0.0,0.0017925176562648233,0.03516948984419388
0.9958847736625515,0.9948571428571429,0.0010276308054085748,1.001032943084127,1.0,0.9937335857996938,0.06631771852853488
0.31275720164609055,0.24285714285714285,0.0699000587889477,1.2878237714839023,0.0,0.25205760598579974,0.4013762312864138
0.6008230452674898,0.4045714285714286,0.19625161669606117,1.4850852107600383,0.21225533569802535,0.43191894249443036,0.45511242516610684
0.06995884773662552,0.0,0.06995884773662552,-1,0.0,0.008636231571242929,0.07944341762987311
0.9588477366255144,0.9908571428571429,-0.03200940623162851,0.9676952359254037,1.0,0.9858983250883837,0.10769410103884505
0.7695473251028807,0.32971428571428574,0.43983303938859497,2.333982355164716,0.0,0.38359997035452104,0.4457410200667646
0.07407407407407407,0.20971428571428571,-0.13564021164021164,0.3532142496720153,0.0,0.19309201461777786,0.3591820305104955
1.0,0.9942857142857143,0.005714285714285672,1.0057471264367817,1.0,0.9941425960536779,0.06968259536146544
1.0,1.0,0.0,1.0,1.0,1.0,0.0
0.9958847736625515,0.9982857142857143,-0.0024009406231628727,0.997594936410684,1.0,0.998327456899729,0.03784886672278381
0.00823045267489712,0.054857142857142854,-0.04662669018224573,0.1500342935528121,0.0,0.0526023063184121,0.20015768338219148
1.0,1.0,0.0,1.0,1.0,1.0,0.0
0.205761316872428,0.5,-0.294238683127572,0.411522633744856,0.3097934435817828,0.46315544333677294,0.4647372093236
1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,0.9988571428571429,0.0011428571428571122,1.0011441647597255,1.0,0.9981451413513682,0.033849761000743966
0.6584362139917695,0.8405714285714285,-0.18213521457965898,0.7833197651159733,1.0,0.8119633247236206,0.35206746219829665
0.04526748971193416,0.006857142857142857,0.038410346854791305,6.6015089163237315,0.0,0.012511039986709788,0.08989880794213469
0.2222222222222222,0.20914285714285713,0.01307936507936508,1.0625379477838495,0.0,0.21025342461278138,0.3704814945786028
1.0,0.9988571428571429,0.0011428571428571122,1.0011441647597255,1.0,0.9987897929915712,0.03269183661064673
0.09465020576131687,0.084,0.010650205761316867,1.1267881638252009,0.0,0.08489242137461812,0.25970288456299173
0.9670781893004116,0.9325714285714286,0.034506760728982955,1.0370017348503187,1.0,0.9349727677201384,0.21346060433491673
0.934156378600823,0.8028571428571428,0.1312992357436802,1.1635399733462208,1.0,0.8163584222338327,0.35423150995397956
0.0,0.0017142857142857142,-0.0017142857142857142,-1,0.0,0.0018760273631784406,0.03592891996860813
1.0,0.9925714285714285,0.007428571428571451,1.00748416810593,1.0,0.9936831120494669,0.06949442003867658
